"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify job description, requirements and salary ranges.","947","test_prod_jobs_get_job_details","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify formatted PDF rendering and download stream.","1916","test_prod_resumes_export_pdf","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
"Verify usage heatmap analytics endpoint responds via admin.","333","test_prod_billing_usage_heatmap","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify production user login generates valid bearer access token.","0","test_prod_auth_login_and_token","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify holistic interview evaluation report.","296","test_prod_interview_analysis_report","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify candidates can browse active career openings.","969","test_prod_jobs_list_active_jobs","tests.api","2026-09-21","passed","2026-09-21","TestProdJobsSmoke","test_prod","",""
"Verify mentor booking calendar slots.","299","test_prod_mentorship_my_availability","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify wallet credit limit safeguards.","285","test_prod_billing_spending_controls","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify admin repository fetch via admin session.","5504","test_prod_resumes_admin_fetch_all","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
"Verify Billing service health and healthz endpoints.","600","test_prod_billing_health","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify trending and highest-rated content analytics.","276","test_prod_courses_popular_content","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify global mentorship skills and categories.","302","test_prod_mentorship_list_skills","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify AI multiple choice technical question generator.","4063","test_prod_quiz_generate_mcq","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify pending goal completion reviews.","302","test_prod_mentorship_pending_goal_status_requests","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify curriculum modules and lesson contents can be fetched.","787","test_prod_courses_get_course_content","tests.api","2026-09-21","failed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify admin monitoring health endpoint responds.","393","test_prod_auth_dashboard_health","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify user's mentorship profile and bio.","401","test_prod_mentorship_get_me","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify resume document data by ID.","812","test_prod_resumes_get_by_id","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
"Verify speech pace, clarity, and keyword analytics for session.","298","test_prod_interview_session_metrics","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify user can retrieve active mentor IDPs.","288","test_prod_auth_my_idps","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify user's registered teaching skills.","297","test_prod_mentorship_my_mentor_skills","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify admin querying database-extracted user skills via admin session.","286","test_prod_resumes_admin_user_skills","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
"Verify user credit wallet balance is queryable.","302","test_prod_billing_wallet_balance","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify instructor teaching dashboard metrics.","269","test_prod_courses_instructor_dashboard","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify AI suggested mentors based on user aspirations.","388","test_prod_mentorship_recommended_mentors","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify billing revenue and consumption metrics.","273","test_prod_billing_business_metrics","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify profile headline and bio updates.","390","test_prod_mentorship_update_me","tests.api","2026-09-21","passed","2026-09-21","TestProdMentorshipSmoke","test_prod","",""
"Verify company-specific interview question generator.","298","test_prod_quiz_company_question","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify AI behavioral leadership question generation.","3278","test_prod_quiz_generate_behavioral","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify Quiz service health endpoints.","834","test_prod_quiz_health","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify credit consumption & deposit transaction history.","300","test_prod_billing_list_transactions","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify AI business communication writing prompts.","5323","test_prod_quiz_generate_writing_prompt","tests.api","2026-09-21","passed","2026-09-21","TestProdQuizSmoke","test_prod","",""
"Verify user can update theme and notifications settings.","1003","test_prod_auth_patch_settings","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify targeted interview preparation tips for candidate.","274","test_prod_interview_user_recommendations","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify average course completion rate metrics.","275","test_prod_courses_average_completion_rates","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify interview mastery and preparation progress.","277","test_prod_interview_user_progress","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify published course catalog is accessible to learners.","546","test_prod_courses_list_courses","tests.api","2026-09-21","passed","2026-09-21","TestProdCoursesSmoke","test_prod","",""
"Verify audio capture hardware discovery for voice interviews.","277","test_prod_interview_get_audio_devices","tests.api","2026-09-21","passed","2026-09-21","TestProdInterviewSmoke","test_prod","",""
"Verify admin can list submitted IDP course requests.","332","test_prod_auth_course_requests","tests.api","2026-09-21","passed","2026-09-21","TestProdAuthSmoke","test_prod","",""
"Verify available purchasable credit bundles.","290","test_prod_billing_credit_packs","tests.api","2026-09-21","passed","2026-09-21","TestProdBillingSmoke","test_prod","",""
"Verify Resumes service gateway and health endpoints.","2290","test_prod_resumes_health","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
"Verify re-analyzing an existing resume.","269","test_prod_resumes_trigger_reanalysis","tests.api","2026-09-21","passed","2026-09-21","TestProdResumesSmoke","test_prod","",""
